Neighborhood,Average_Price
Pedralbes,2178923.08
Sant Gervasi – la Bonanova,1855065.42
Sarrià,1837871.79
Les Tres Torres,1330750.0
"Vallvidrera, el Tibidabo i les Planes",1274970.37
Dreta de l'Eixample,1117632.95
Sant Gervasi – Galvany,1040701.22
L'Antiga Esquerra de l'Eixample,721365.42
"Sant Pere, Santa Caterina i la Ribera",690098.31
Gothic Quarter,658650.46
El Putxet i el Farró,618150.94
Vila de Gràcia,600354.84
Camp d'en Grassot i Gràcia Nova,517892.86
Les Corts,502455.7
Vallcarca i els Penitents,488086.96
La Nova Esquerra de l'Eixample,460978.65
Sant Antoni,441713.71
La Salut,426650.0
Can Baró,426625.0
Fort Pienc,420000.0
La Font de la Guatlla,412321.74
Sagrada Família,399000.0
La Maternitat i Sant Ramon,396061.41
Sant Andreu de Palomar,368950.0
El Raval,354554.84
La Font d'en Fargues,333000.0
La Marina del Prat Vermell,329278.57
El Congrés i els Indians,320000.0
El Camp de l'Arpa del Clot,320000.0
Sants,319267.05
El Baix Guinardó,315222.22
Sant Genís dels Agudells,312172.41
Navas,309000.0
El Guinardó,307100.0
"Horta, Barcelona",298178.57
Vilapicina i la Torre Llobeta,298000.0
Hostafrancs,287504.0
"El Poble-sec, Barcelona",282999.66
Vall d'Hebron,268333.33
La Bordeta,267238.48
el Coll,265000.0
Sants-Badal,258538.08
Can Peguera,243333.33
La Marina de Port,239793.51
La Teixonera,233146.15
El Carmel,210209.09
Canyelles,198000.0
Les Roquetes,181333.33
Porta,180650.0
La Prosperitat,167150.0
La Trinitat Nova,159000.0
Verdun,157250.0
Trinitat Vella,134750.0
Ciutat Meridiana,117250.0
